project,path,layer,lines,bytes,sha256,function_declarations,review_level
easyeye,.docker/nginx/laravel.conf,.docker,45,1348,1d31a3a992a5d92f85d255e75b9057650e6613f56ec9570eafcd8047170832dc,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.docker/php/custom.ini,.docker,5,114,388da7ed40473b9ff5649b061b50e6370e2ed02accfd1e62197f3f2d5a4b496f,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.docker/php/entrypoint.sh,.docker,41,2301,f7f3950be7cf56c6daa3a85565660b7727df4e2d1fc0a60cc5ebe9609eb382d0,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.docker/php/opcache.ini,.docker,15,725,122dfe44073c1e92e9bafb46e3a6fb31e5a091b30e847a7cf2a7ffc12d8194d4,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.docker/supervisor/easyeye-worker.conf,.docker,14,496,5a4bb6fbc7ef96a6b4fcc316d26247cfec776f61442d4baedda719ab2aea546b,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.docker/supervisor/supervisord.conf,.docker,18,447,1da4e9d7718eace1300305a03b374650c4f42510ed34e1befe6d8c03855fbc6c,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.github/copilot-instructions.md,.github,128,4665,4ac2616b757769ad2ce61d64add46f179e61bc1c6a07cff81857838c2926eea4,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.github/hooks/rtk-rewrite.json,.github,22,378,f703b316d008c58589c5d68a9784c6ab7b0ad499c8382ca6b43ffb3a1f220a44,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.github/prompts/opsx-apply.prompt.md,.github,149,4465,350c3c47330d14825eaf685594a1ac73fe1f4a15c2774ed06fc90fc6352cd08f,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.github/prompts/opsx-archive.prompt.md,.github,154,4934,506f234494a161cdde2c1fefb319f53ec63e34755811ead4b39c5677c0c7b455,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.github/prompts/opsx-explore.prompt.md,.github,170,6499,f336d5ff10f58ec5f0f081f1a7f3c8da61e9a7d4b8f9e324ff9b2edcf6c66706,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.github/prompts/opsx-propose.prompt.md,.github,103,4335,a124c194a3348ee4e8aa41edb03aeb63444946a6aa3d60365fea6b124e733168,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.github/skills/openspec-apply-change/SKILL.md,.github,156,4724,c30999a1477d6a8377d7aaa02a82ad322206ffa0cca1ddf7d95618c4577ba10f,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
easyeye,.github/skills/openspec-archive-change/SKILL.md,.github,114,4157,dd8783f590c0488b2026bee9aae2adbc3cda1d7152ab04e9b9cf2ff3924fce50,0,"inventario estatico; leitura dirigida por dominio, nao auditoria linha a linha"
